Timestamp,I_Pump_Down,I_Pump_Up,O_PumpUpDown,O_ValvePumpCloseOpen,PumpStrokes
1529500395266,0,0,1,1,3
1529500395366,0,0,1,1,3
1529500395466,0,0,1,1,3
1529500395566,0,0,1,1,3
1529500395666,0,0,1,1,3
1529500395766,0,0,1,1,3
1529500395867,0,0,1,1,3
1529500395967,0,0,1,1,3
1529500396067,0,0,1,1,3
1529500396167,0,0,1,1,3
1529500396267,0,0,1,1,3
1529500396368,0,0,1,1,3
1529500396468,0,0,1,1,3
1529500396568,0,0,1,1,3
1529500396668,0,0,1,1,3
1529500396768,0,0,1,1,3
1529500396868,0,0,1,1,3
1529500396969,0,0,1,1,3
1529500397069,1,0,1,1,3
1529500397169,1,0,1,0,3
1529500397269,1,0,1,0,3
1529500397369,1,0,1,0,3
1529500397470,1,0,1,0,3
1529500397570,1,0,1,0,3
1529500397670,1,0,1,0,3
1529500397770,1,0,1,0,3
1529500397870,1,0,1,0,3
1529500397971,1,0,1,0,3
1529500398071,1,0,1,0,3
1529500398171,1,0,1,0,3
1529500398271,1,0,1,0,3
1529500398371,1,0,1,0,3
1529500398472,1,0,1,0,3
1529500398572,1,0,1,0,3
1529500398672,1,0,1,0,3
1529500398772,1,0,1,0,3
1529500398872,1,0,1,0,3
1529500398972,1,0,1,0,3
1529500399073,1,0,1,0,3
1529500399173,1,0,1,0,3
1529500399273,1,0,1,0,3
1529500399373,1,0,1,0,3
1529500399473,1,0,1,0,3
1529500399574,1,0,1,0,3
1529500399674,1,0,1,0,3
1529500399774,1,0,1,0,3
1529500399874,1,0,1,0,3
1529500399974,1,0,1,0,3
1529500400075,1,0,1,0,3
1529500400175,1,0,1,0,3
1529500400275,1,0,1,0,3
1529500400375,1,0,1,0,3
1529500400475,1,0,1,0,3
1529500400575,1,0,1,0,3
1529500400676,1,0,1,0,3
1529500400776,1,0,1,0,3
1529500400876,1,0,1,0,3
1529500400976,1,0,1,0,3
1529500401076,1,0,1,0,3
1529500401177,1,0,1,0,3
1529500401277,1,0,1,0,3
1529500401377,1,0,1,0,3
1529500401477,1,0,1,0,3
1529500401577,1,0,1,0,3
1529500401678,1,0,1,0,3
1529500401778,1,0,1,0,3
1529500401878,1,0,1,0,3
1529500401978,1,0,1,0,3
1529500402078,1,0,1,0,3
1529500402179,1,0,1,0,3
1529500402279,1,0,1,0,3
1529500402379,1,0,1,0,3
1529500402479,1,0,1,0,3
1529500402579,1,0,1,0,3
1529500402679,1,0,1,0,3
1529500402780,1,0,1,0,3
1529500402880,1,0,1,0,3
1529500402980,1,0,1,0,3
1529500403080,1,0,1,0,3
1529500403180,1,0,1,0,3
1529500403281,1,0,1,0,3
1529500403381,1,0,1,0,3
1529500403481,1,0,1,0,3
1529500403581,1,0,1,0,3
1529500403681,1,0,1,0,3
1529500403781,1,0,1,0,3
1529500403882,1,0,1,0,3
1529500403982,1,0,1,0,3
1529500404082,1,0,1,0,3
1529500404182,1,0,1,0,3
1529500404282,1,0,1,0,3
1529500404383,1,0,1,0,3
1529500404483,1,0,1,0,3
1529500404583,1,0,1,0,3
1529500404683,1,0,1,0,3
1529500404783,1,0,1,0,3
1529500404884,1,0,1,0,3
1529500404984,1,0,1,0,3
1529500405084,1,0,1,0,3
1529500405184,1,0,1,0,3
1529500405284,1,0,1,0,3
1529500405385,1,0,1,0,3
1529500405485,1,0,1,0,3
1529500405585,1,0,1,0,3
1529500405685,1,0,1,0,3
1529500405785,1,0,1,0,3
1529500405886,1,0,1,0,3
1529500405986,1,0,1,0,3
1529500406086,1,0,1,0,3
1529500406186,1,0,1,0,3
1529500406286,1,0,1,0,3
1529500406386,1,0,1,0,3
1529500406487,1,0,1,0,3
1529500406587,1,0,1,0,3
1529500406687,1,0,1,0,3
1529500406787,1,0,1,0,3
1529500406887,1,0,1,0,3
1529500406988,1,0,1,0,3
1529500407088,1,0,1,0,3
1529500407188,1,0,1,0,3
1529500407288,1,0,1,0,3
1529500407388,1,0,1,0,3
1529500407488,1,0,1,0,3
1529500407589,1,0,1,0,3
1529500407689,1,0,1,0,3
1529500407789,1,0,1,0,3
1529500407889,1,0,1,0,3
1529500407989,1,0,1,0,3
1529500408090,1,0,1,0,3
1529500408190,1,0,1,0,3
1529500408290,1,0,1,0,3
1529500408390,1,0,1,0,3
1529500408490,1,0,1,0,3
1529500408591,1,0,1,0,3
