Timestamp,I_CapGrabberDown,I_CapGrabberUp,I_CapOnConveyor,I_LinAxisDown,I_LinAxisUp
1529501016569,0,1,0,1,0
1529501016669,0,1,0,1,0
1529501016769,0,1,0,1,0
1529501016869,0,1,0,1,0
1529501016969,0,1,0,1,0
1529501017070,0,1,0,1,0
1529501017170,0,1,0,1,0
1529501017270,0,1,0,1,0
1529501017370,0,1,0,1,0
1529501017470,0,1,0,1,0
1529501017571,0,1,0,1,0
1529501017671,0,1,0,1,0
1529501017771,0,1,0,1,0
1529501017871,0,1,0,1,0
1529501017971,0,1,0,1,0
1529501018072,0,1,0,1,0
1529501018172,0,1,0,1,0
1529501018272,0,1,0,1,0
1529501018372,0,1,0,1,0
1529501018472,0,1,0,1,0
1529501018573,0,1,0,1,0
1529501018673,0,1,0,1,0
1529501018773,0,1,0,1,0
1529501018873,0,1,0,1,0
1529501018973,0,1,0,1,0
1529501019074,0,1,0,1,0
1529501019174,0,1,0,1,0
1529501019274,0,1,0,1,0
1529501019374,0,1,0,1,0
1529501019474,0,1,0,1,0
1529501019575,0,1,0,1,0
1529501019675,0,1,0,1,0
1529501019775,0,1,0,1,0
1529501019875,0,1,0,1,0
1529501019975,0,1,0,1,0
1529501020076,0,1,0,1,0
1529501020176,0,1,0,1,0
1529501020276,0,1,0,1,0
1529501020376,0,1,0,1,0
1529501020476,0,1,0,1,0
1529501020577,0,1,0,1,0
1529501020677,0,1,0,1,0
1529501020777,0,1,0,1,0
1529501020877,0,1,0,1,0
1529501020977,0,1,0,1,0
1529501021078,0,1,0,1,0
1529501021178,0,1,0,1,0
1529501021278,0,1,0,1,0
1529501021378,0,1,0,1,0
1529501021478,0,1,0,1,0
1529501021579,0,1,0,1,0
1529501021679,0,1,0,1,0
1529501021779,0,1,0,1,0
1529501021879,0,1,0,1,0
1529501021979,0,1,0,1,0
1529501022080,0,1,0,1,0
1529501022180,0,1,0,1,0
1529501022280,0,1,0,1,0
1529501022380,0,1,0,1,0
1529501022480,0,1,0,1,0
1529501022581,0,1,0,1,0
1529501022681,0,1,0,1,0
1529501022781,0,1,0,1,0
1529501022881,0,1,0,1,0
1529501022981,0,1,0,1,0
1529501023082,0,1,0,1,0
1529501023182,0,1,0,1,0
1529501023282,0,1,0,1,0
1529501023382,0,1,0,1,0
1529501023482,0,1,0,1,0
1529501023583,0,1,0,1,0
1529501023683,0,1,0,1,0
1529501023783,0,1,0,1,0
1529501023883,0,1,0,1,0
1529501023983,0,1,0,1,0
1529501024084,0,1,0,1,0
1529501024184,0,1,0,1,0
1529501024285,0,1,0,1,0
1529501024385,0,1,0,1,0
1529501024485,0,1,0,1,0
1529501024586,0,1,0,1,0
1529501024686,0,1,0,1,0
1529501024786,0,1,0,1,0
1529501024886,0,1,0,1,0
1529501024986,0,1,0,1,0
1529501025087,0,1,0,1,0
1529501025187,0,1,0,1,0
1529501025287,0,1,0,1,0
1529501025387,0,1,0,1,0
1529501025487,0,1,0,1,0
1529501025587,0,1,0,1,0
1529501025688,0,1,0,1,0
1529501025788,0,1,0,1,0
1529501025888,0,1,0,1,0
1529501025988,0,1,0,1,0
1529501026088,0,1,0,1,0
1529501026189,0,1,0,1,0
1529501026289,0,1,0,1,0
1529501026389,0,1,0,1,0
1529501026489,0,1,0,1,0
1529501026589,0,1,0,1,0
1529501026690,0,1,0,1,0
1529501026790,0,1,0,1,0
1529501026890,0,1,0,1,0
1529501026990,0,1,0,1,0
1529501027090,0,1,0,1,0
1529501027190,0,1,0,1,0
1529501027291,0,1,0,1,0
1529501027391,0,1,0,1,0
1529501027491,0,1,0,1,0
1529501027591,0,1,0,1,0
1529501027692,0,1,0,1,0
1529501027792,0,1,0,1,0
1529501027892,0,1,0,1,0
1529501027992,0,1,0,1,0
1529501028092,0,1,0,1,0
1529501028192,0,1,0,1,0
1529501028293,0,1,0,1,0
1529501028393,0,1,0,1,0
1529501028493,0,1,0,1,0
1529501028593,0,1,0,1,0
1529501028694,0,1,0,1,0
1529501028794,0,1,0,1,0
1529501028894,0,1,0,1,0
1529501028994,0,1,0,1,0
1529501029094,0,1,0,1,0
1529501029195,0,1,0,1,0
1529501029295,0,1,0,1,0
1529501029395,0,1,0,1,0
1529501029495,0,1,0,1,0
1529501029595,0,1,0,1,0
1529501029696,0,1,0,1,0
1529501029796,0,1,0,1,0
1529501029896,0,1,0,1,0
1529501029996,0,1,0,1,0
1529501030096,0,1,0,1,0
1529501030197,0,1,0,1,0
1529501030297,0,1,0,1,0
1529501030397,0,1,0,1,0
1529501030497,0,1,0,1,0
1529501030598,0,1,0,1,0
1529501030698,0,1,0,1,0
1529501030799,0,1,0,1,0
1529501030899,0,1,0,1,0
1529501030999,0,1,0,1,0
1529501031099,0,1,0,1,0
1529501031199,0,1,0,1,0
1529501031300,0,1,0,1,0
1529501031400,0,1,0,1,0
1529501031500,0,1,0,1,0
1529501031600,0,1,0,1,0
1529501031700,0,1,0,1,0
1529501031801,0,1,0,1,0
1529501031901,0,1,0,1,0
1529501032001,0,1,0,1,0
1529501032101,0,1,0,1,0
1529501032201,0,1,0,1,0
1529501032302,0,1,0,1,0
1529501032402,0,1,0,1,0
1529501032502,0,1,0,1,0
1529501032602,0,1,0,1,0
1529501032702,0,1,0,1,0
1529501032802,0,1,0,1,0
1529501032903,0,1,0,1,0
1529501033003,0,1,0,1,0
1529501033103,0,1,0,1,0
1529501033203,0,1,0,1,0
1529501033303,0,1,0,1,0
1529501033404,0,1,0,1,0
1529501033504,0,1,0,1,0
1529501033604,0,1,0,1,0
1529501033704,0,1,0,1,0
1529501033804,0,1,0,1,0
1529501033905,0,1,0,1,0
1529501034005,0,1,0,1,0
1529501034105,0,1,0,1,0
1529501034205,0,1,0,1,0
1529501034305,0,1,0,1,0
1529501034406,0,1,0,1,0
1529501034506,0,1,0,1,0
1529501034606,0,1,0,1,0
1529501034706,0,1,0,1,0
1529501034806,0,1,0,1,0
1529501034907,0,1,0,1,0
1529501035007,0,1,0,1,0
1529501035107,0,1,0,1,0
1529501035207,0,1,0,1,0
1529501035307,0,1,0,1,0
1529501035408,0,1,0,1,0
1529501035508,0,1,0,1,0
1529501035608,0,1,0,1,0
1529501035708,0,1,0,1,0
1529501035808,0,1,0,1,0
1529501035909,0,1,0,1,0
1529501036009,0,1,0,1,0
1529501036109,0,1,0,1,0
1529501036209,0,1,0,1,0
1529501036309,0,1,0,1,0
1529501036410,0,1,0,1,0
1529501036510,0,1,0,1,0
1529501036610,0,1,0,1,0
1529501036710,0,1,0,1,0
1529501036810,0,1,0,1,0
1529501036911,0,1,0,1,0
