Timestamp,O_PortionerForward,O_PortionerReverse,O_PortionerSlow,Portions
1529500914226,0,0,0,4
1529500914328,0,0,0,4
1529500914428,0,0,0,4
1529500914529,0,0,0,4
1529500914629,0,0,0,4
1529500914729,0,0,0,4
1529500914829,0,0,0,4
1529500914929,0,0,0,4
1529500915030,0,0,0,4
1529500915130,0,0,0,4
1529500915230,0,0,0,4
1529500915330,0,0,0,4
1529500915430,0,0,0,4
1529500915531,0,0,0,4
1529500915631,0,0,0,4
1529500915731,0,0,0,4
1529500915831,0,0,0,4
1529500915931,0,0,0,4
1529500916032,0,0,0,4
1529500916132,0,0,0,4
1529500916232,0,0,0,4
1529500916332,0,0,0,4
1529500916432,0,0,0,4
1529500916533,0,0,0,4
1529500916633,0,0,0,4
1529500916733,0,0,0,4
1529500916833,0,0,0,4
1529500916933,0,0,0,4
1529500917033,0,0,0,4
1529500917134,0,0,0,4
1529500917234,0,0,0,4
1529500917334,0,0,0,4
1529500917434,0,0,0,4
1529500917534,0,0,0,4
1529500917635,0,0,0,4
1529500917735,0,0,0,4
1529500917835,0,0,0,4
1529500917935,0,0,0,4
1529500918035,0,0,0,4
1529500918136,0,0,0,4
1529500918236,0,0,0,4
1529500918336,0,0,0,4
1529500918436,0,0,0,4
1529500918536,0,0,0,4
1529500918636,0,0,0,4
1529500918738,0,0,0,4
1529500918838,0,0,0,4
1529500918938,0,0,0,4
1529500919038,0,0,0,4
1529500919138,0,0,0,4
1529500919239,0,0,0,4
1529500919339,0,0,0,4
1529500919439,0,0,0,4
1529500919539,0,0,0,4
1529500919639,0,0,0,4
1529500919739,0,0,0,4
1529500919840,0,0,0,4
1529500919940,0,0,0,4
1529500920040,0,0,0,4
1529500920140,0,0,0,4
1529500920240,0,0,0,4
1529500920341,0,0,0,4
1529500920441,0,0,0,4
1529500920541,0,0,0,4
1529500920641,0,0,0,4
1529500920741,0,0,0,4
1529500920842,0,0,0,4
1529500920942,0,0,0,4
1529500921042,0,0,0,4
1529500921142,0,0,0,4
1529500921244,0,0,0,4
1529500921346,0,0,0,4
1529500921448,0,0,0,4
1529500921549,0,0,0,4
