Timestamp,CupState,CurrentWeight,EmergencyStop,FanOn,HeatCoverClosed,HeaterOn,HeatingTimePercent,PotAvailable,Produce,ScaleCupDown,ScaleCupUp,SwitchToPot,TrackSwitchAtCup,TrackSwitchAtPot,TurnScaleCup
1516356590419,2,0.554201364517212,1,1,1,1,92,1,0,0,1,1,0,1,0
1516356590528,2,0.615779340267181,1,1,1,1,92,1,0,0,1,1,0,1,0
1516356590638,2,0.523412466049194,1,1,1,1,92,1,0,0,1,1,0,1,0
1516356590747,2,0.615779340267181,1,1,1,1,92,1,0,0,1,1,0,1,0
1516356590857,2,0.584990382194519,1,1,1,1,93,1,0,0,1,1,0,1,0
1516356590966,2,0.523412466049194,1,1,1,1,93,1,0,0,1,1,0,1,0
1516356591075,2,0.584990382194519,1,1,1,1,93,1,0,0,1,1,0,1,0
1516356591185,2,0.554201364517212,1,1,1,1,93,1,0,0,1,1,0,1,0
1516356591294,2,0.615779340267181,1,1,1,1,93,1,0,0,1,1,0,1,0
1516356591403,2,0.646568298339844,1,1,1,1,93,1,0,0,1,1,0,1,0
1516356591513,2,0.584990382194519,1,1,1,1,93,1,0,0,1,1,0,1,0
1516356591622,2,0.615779340267181,1,1,1,1,94,1,0,0,1,1,0,1,0
1516356591732,2,0.554201364517212,1,1,1,1,94,1,0,0,1,1,0,1,0
1516356591841,2,0.646568298339844,1,1,1,1,94,1,0,0,1,1,0,1,0
1516356591950,2,0.554201364517212,1,1,1,1,94,1,0,0,1,1,0,1,0
1516356592060,2,0.584990382194519,1,1,1,1,94,1,0,0,1,1,0,1,0
1516356592169,2,0.554201364517212,1,1,1,1,94,1,0,0,1,1,0,1,0
1516356592279,2,0.584990382194519,1,1,1,1,95,1,0,0,1,1,0,1,0
1516356592388,2,0.584990382194519,1,1,1,1,95,1,0,0,1,1,0,1,0
1516356592497,2,0.646568298339844,1,1,1,1,95,1,0,0,1,1,0,1,0
1516356592607,2,0.584990382194519,1,1,1,1,95,1,0,0,1,1,0,1,0
1516356592716,2,0.584990382194519,1,1,1,1,95,1,0,0,1,1,0,1,0
1516356592825,2,0.584990382194519,1,1,1,1,95,1,0,0,1,1,0,1,0
1516356592935,2,0.584990382194519,1,1,1,1,95,1,0,0,1,1,0,1,0
1516356593044,2,0.646568298339844,1,1,1,1,96,1,0,0,1,1,0,1,0
1516356593154,2,0.646568298339844,1,1,1,1,96,1,0,0,1,1,0,1,0
1516356593263,2,0.554201364517212,1,1,1,1,96,1,0,0,1,1,0,1,0
1516356593372,2,0.584990382194519,1,1,1,1,96,1,0,0,1,1,0,1,0
1516356593482,2,0.615779340267181,1,1,1,1,96,1,0,0,1,1,0,1,0
1516356593591,2,0.646568298339844,1,1,1,1,96,1,0,0,1,1,0,1,0
1516356593701,2,0.615779340267181,1,1,1,1,97,1,0,0,1,1,0,1,0
1516356593810,2,0.646568298339844,1,1,1,1,97,1,0,0,1,1,0,1,0
1516356593919,2,0.646568298339844,1,1,1,1,97,1,0,0,1,1,0,1,0
1516356594029,2,0.584990382194519,1,1,1,1,97,1,0,0,1,1,0,1,0
1516356594138,2,0.615779340267181,1,1,1,1,97,1,0,0,1,1,0,1,0
1516356594247,2,0.615779340267181,1,1,1,1,97,1,0,0,1,1,0,1,0
1516356594357,2,0.615779340267181,1,1,1,1,97,1,0,0,1,1,0,1,0
1516356594466,2,0.554201364517212,1,1,1,1,98,1,0,0,1,1,0,1,0
1516356594576,2,0.523412466049194,1,1,1,1,98,1,0,0,1,1,0,1,0
1516356594685,2,0.615779340267181,1,1,1,1,98,1,0,0,1,1,0,1,0
1516356594794,2,0.584990382194519,1,1,1,1,98,1,0,0,1,1,0,1,0
1516356594904,2,0.523412466049194,1,1,1,1,98,1,0,0,1,1,0,1,0
1516356595013,2,0.615779340267181,1,1,1,1,98,1,0,0,1,1,0,1,0
1516356595123,2,0.646568298339844,1,1,1,1,99,1,0,0,1,1,0,1,0
1516356595232,2,0.523412466049194,1,1,1,1,99,1,0,0,1,1,0,1,0
