Timestamp,SiloFull,SiloMinFull,Aspirator.O_xOn,BeltConveyor.O_xOn,FunnelBlocked
1515158100822,0,1,0,0,0
1515158100922,0,1,0,0,0
1515158101022,0,1,0,0,0
1515158101123,0,1,0,0,0
1515158101224,0,1,0,0,0
1515158101324,0,1,0,0,0
1515158101424,0,1,0,0,0
1515158101524,0,1,0,0,0
1515158101624,0,1,0,0,0
1515158101724,0,1,0,0,0
1515158101824,0,1,0,0,0
1515158101925,0,1,0,0,0
1515158102025,0,1,0,0,0
1515158102125,0,1,0,0,0
1515158102225,0,1,0,0,0
1515158102325,0,1,0,0,0
1515158102425,0,1,0,0,0
1515158102525,0,1,0,0,0
1515158102626,0,1,0,0,0
1515158102726,0,1,0,0,0
1515158102826,0,1,0,0,0
1515158102926,0,1,0,0,0
1515158103026,0,1,0,0,0
1515158103126,0,1,0,0,0
1515158103226,0,1,0,0,0
1515158103326,0,1,0,0,0
1515158103427,0,1,0,0,0
1515158103527,0,1,0,0,0
1515158103627,0,1,0,0,0
1515158103727,0,1,0,0,0
1515158103827,0,1,0,0,0
1515158103927,0,1,0,0,0
1515158104028,0,1,0,0,0
1515158104128,0,1,0,0,0
1515158104228,0,1,0,0,0
1515158104328,0,1,0,0,0
1515158104428,0,1,0,0,0
1515158104528,0,1,0,0,0
1515158104628,0,1,0,0,0
1515158104728,0,1,0,0,0
1515158104829,0,1,0,0,0
1515158104929,0,1,0,0,0
1515158105029,0,1,0,0,0
1515158105129,0,1,0,0,0
1515158105229,0,1,0,0,0
1515158105329,0,1,0,0,0
1515158105429,0,1,0,0,0
1515158105530,0,1,0,0,0
1515158105630,0,1,0,0,0
1515158105730,0,1,0,0,0
1515158105831,0,1,0,0,0
1515158105931,0,1,0,0,0
1515158106031,0,1,0,0,0
1515158106131,0,1,0,0,0
1515158106232,0,1,0,0,0
1515158106332,0,1,0,0,0
1515158106432,0,1,0,0,0
1515158106532,0,1,0,0,0
1515158106632,0,1,0,0,0
1515158106732,0,1,0,0,0
1515158106832,0,1,0,0,0
1515158106933,0,1,0,0,0
1515158107033,0,1,0,0,0
1515158107133,0,1,0,0,0
1515158107233,0,1,0,0,0
1515158107333,0,1,0,0,0
1515158107433,0,1,0,0,0
1515158107533,0,1,0,0,0
1515158107633,0,1,0,0,0
1515158107734,0,1,0,0,0
1515158107834,0,1,0,0,0
1515158107934,0,1,0,0,0
1515158108034,0,1,0,0,0
1515158108134,0,1,0,0,0
1515158108234,0,1,0,0,0
1515158108334,0,1,0,0,0
1515158108435,0,1,0,0,0
1515158108535,0,1,0,0,0
1515158108635,0,1,0,0,0
1515158108735,0,1,0,0,0
1515158108835,0,1,0,0,0
1515158108935,0,1,0,0,0
1515158109035,0,1,0,0,0
1515158109136,0,1,0,0,0
1515158109236,0,1,0,0,0
1515158109336,0,1,0,0,0
1515158109436,0,1,0,0,0
1515158109536,0,1,0,0,0
1515158109636,0,1,0,0,0
1515158109736,0,1,0,0,0
1515158109837,0,1,0,0,0
1515158109937,0,1,0,0,0
1515158110037,0,1,0,0,0
1515158110137,0,1,0,0,0
1515158110237,0,1,0,0,0
1515158110337,0,1,0,0,0
1515158110437,0,1,0,0,0
1515158110538,0,1,0,0,0
1515158110638,0,1,0,0,0
1515158110738,0,1,0,0,0
1515158110838,0,1,0,0,0
1515158110938,0,1,0,0,0
1515158111038,0,1,0,0,0
1515158111138,0,1,0,0,0
1515158111238,0,1,0,0,0
1515158111339,0,1,0,0,0
1515158111439,0,1,0,0,0
1515158111539,0,1,0,0,0
1515158111639,0,1,0,0,0
1515158111739,0,1,0,0,0
1515158111839,0,1,0,0,0
1515158111939,0,1,0,0,0
1515158112040,0,1,0,0,0
1515158112140,0,1,0,0,0
1515158112240,0,1,0,0,0
1515158112340,0,1,0,0,0
1515158112440,0,1,0,0,0
1515158112540,0,1,0,0,0
1515158112640,0,1,0,0,0
1515158112741,0,1,0,0,0
1515158112841,0,1,0,0,0
1515158112941,0,1,0,0,0
1515158113041,0,1,0,0,0
1515158113141,0,1,0,0,0
1515158113241,0,1,0,0,0
1515158113341,0,1,0,0,0
1515158113441,0,1,0,0,0
1515158113542,0,1,0,0,0
1515158113642,0,1,0,0,0
1515158113742,0,1,0,0,0
1515158113842,0,1,0,0,0
1515158113942,0,1,0,0,0
1515158114042,0,1,0,0,0
