Timestamp,Auger.O_xOn,Aspirator.O_xOn,WeightSensor.I_uiValue,FunnelBlocked.I_xSignal
1515157997016,0,0,18676,0
1515157997116,0,0,18678,0
1515157997217,0,0,18678,0
1515157997319,0,0,18676,0
1515157997420,0,0,18676,0
1515157997520,0,0,18678,0
1515157997620,0,0,18676,0
1515157997720,0,0,18679,0
1515157997820,0,0,18678,0
1515157997921,0,0,18678,0
1515157998021,0,0,18678,0
1515157998121,0,0,18679,0
1515157998221,0,0,18678,0
1515157998321,0,0,18679,0
1515157998421,0,0,18678,0
1515157998521,0,0,18678,0
1515157998622,0,0,18678,0
1515157998722,0,0,18678,0
1515157998822,0,0,18678,0
1515157998922,0,0,18678,0
1515157999022,0,0,18678,0
1515157999122,0,0,18678,0
1515157999222,0,0,18678,0
1515157999323,0,0,18678,0
1515157999423,0,0,18680,0
1515157999523,0,0,18679,0
1515157999623,0,0,18678,0
1515157999723,0,0,18678,0
1515157999823,0,0,18678,0
1515157999923,0,0,18678,0
1515158000023,0,0,18678,0
1515158000124,0,0,18678,0
1515158000224,0,0,18678,0
1515158000324,0,0,18678,0
1515158000424,0,0,18679,0
1515158000524,0,0,18678,0
1515158000624,0,0,18676,0
1515158000724,0,0,18678,0
1515158000825,0,0,18678,0
1515158000925,0,0,18679,0
1515158001025,0,0,18676,0
1515158001125,0,0,18678,0
1515158001225,0,0,18678,0
1515158001325,0,0,18678,0
1515158001425,0,0,18678,0
1515158001525,0,0,18678,0
1515158001626,0,0,18678,0
1515158001726,0,0,18678,0
1515158001826,0,0,18678,0
1515158001926,0,0,18678,0
1515158002026,0,0,18679,0
1515158002126,0,0,18676,0
1515158002226,0,0,18679,0
1515158002326,0,0,18676,0
1515158002427,0,0,18678,0
1515158002527,0,0,18678,0
1515158002627,0,0,18678,0
1515158002727,0,0,18676,0
1515158002827,0,0,18678,0
1515158002927,0,0,18678,0
1515158003027,0,0,18678,0
1515158003128,0,0,18678,0
1515158003228,0,0,18678,0
1515158003328,0,0,18678,0
1515158003428,0,0,18678,0
1515158003528,0,0,18678,0
1515158003628,0,0,18678,0
1515158003728,0,0,18678,0
1515158003829,0,0,18678,0
1515158003929,0,0,18676,0
1515158004029,0,0,18678,0
1515158004129,0,0,18676,0
1515158004229,0,0,18676,0
1515158004329,0,0,18678,0
1515158004429,0,0,18678,0
1515158004529,0,0,18678,0
1515158004630,0,0,18678,0
1515158004730,0,0,18678,0
1515158004830,0,0,18676,0
1515158004930,0,0,18678,0
1515158005030,0,0,18678,0
1515158005130,0,0,18678,0
1515158005230,0,0,18676,0
1515158005330,0,0,18676,0
1515158005431,0,0,18678,0
1515158005531,0,0,18678,0
1515158005631,0,0,18678,0
1515158005731,0,0,18676,0
1515158005831,0,0,18676,0
1515158005931,0,0,18676,0
1515158006031,0,0,18678,0
1515158006132,0,0,18678,0
1515158006232,0,0,18678,0
1515158006332,0,0,18676,0
1515158006432,0,0,18678,0
1515158006532,0,0,18676,0
1515158006632,0,0,18676,0
1515158006732,0,0,18679,0
1515158006832,0,0,18678,0
1515158006933,0,0,18678,0
1515158007033,0,0,18678,0
1515158007133,0,0,18679,0
1515158007233,0,0,18679,0
1515158007333,0,0,18678,0
1515158007433,0,0,18678,0
1515158007533,0,0,18678,0
1515158007633,0,0,18676,0
1515158007734,0,0,18678,0
1515158007834,0,0,18678,0
1515158007934,0,0,18678,0
1515158008034,0,0,18678,0
1515158008134,0,0,18678,0
1515158008234,0,0,18678,0
1515158008334,0,0,18678,0
1515158008434,0,0,18678,0
1515158008535,0,0,18678,0
1515158008635,0,0,18678,0
1515158008737,0,0,18678,0
1515158008838,0,0,18678,0
1515158008938,0,0,18679,0
