Timestamp,O_BottleClampClose,O_CapScrewDown,O_CapScrewerGrabberOpenClose,O_CloseCap
1529500909273,1,0,0,1
1529500909373,1,0,0,1
1529500909473,1,0,0,1
1529500909574,1,0,0,1
1529500909674,1,0,0,1
1529500909774,1,0,0,1
1529500909874,1,0,0,1
1529500909974,1,0,0,1
1529500910075,1,0,0,0
1529500910175,1,0,0,0
1529500910275,1,0,0,0
1529500910375,1,0,0,0
1529500910475,1,0,0,0
1529500910576,1,0,0,0
1529500910676,1,0,0,0
1529500910776,1,0,0,0
1529500910876,1,0,0,0
1529500910976,1,0,0,0
1529500911077,1,0,0,0
1529500911177,1,0,0,0
1529500911277,1,0,0,0
1529500911377,1,0,0,0
1529500911477,1,0,0,0
1529500911577,1,0,0,0
1529500911678,1,0,0,0
1529500911778,1,0,0,0
1529500911878,1,0,0,0
1529500911978,1,0,0,0
1529500912078,1,0,0,0
1529500912180,1,0,0,0
1529500912281,1,0,0,0
1529500912381,1,0,0,0
1529500912481,1,0,0,0
1529500912581,1,0,0,0
1529500912682,1,0,0,0
1529500912782,1,0,0,0
1529500912882,1,0,0,0
1529500912982,1,0,0,0
1529500913082,1,0,0,0
1529500913182,1,0,0,0
1529500913283,0,0,0,0
1529500913383,0,0,0,0
1529500913483,0,0,0,0
1529500913583,0,0,0,0
1529500913683,0,0,0,0
1529500913784,0,0,0,0
1529500913884,0,0,0,0
1529500913984,0,0,0,0
1529500914084,0,0,0,0
1529500914185,0,0,0,0
1529500914285,0,0,0,0
1529500914385,0,0,0,0
1529500914485,0,0,0,0
1529500914585,0,0,0,0
1529500914686,0,0,0,0
1529500914786,0,0,0,0
1529500914886,0,0,0,0
1529500914986,0,0,0,0
1529500915086,0,0,0,0
1529500915186,0,0,0,0
1529500915287,0,0,0,0
1529500915387,0,0,0,0
1529500915487,0,0,0,0
1529500915587,0,0,0,0
1529500915687,0,0,0,0
1529500915788,0,0,0,0
1529500915888,0,0,0,0
1529500915988,0,0,0,0
1529500916088,0,0,0,0
1529500916188,0,0,0,0
1529500916289,0,0,0,0
1529500916389,0,0,0,0
1529500916489,0,0,0,0
1529500916589,0,0,0,0
1529500916689,0,0,0,0
1529500916790,0,0,0,0
1529500916890,0,0,0,0
1529500916990,0,0,0,0
1529500917090,0,0,0,0
1529500917190,0,0,0,0
1529500917291,0,0,0,0
1529500917391,0,0,0,0
1529500917491,0,0,0,0
1529500917591,0,0,0,0
1529500917691,0,0,0,0
1529500917791,0,0,0,0
1529500917892,0,0,0,0
1529500917993,0,0,0,0
1529500918094,0,0,0,0
1529500918194,0,0,0,0
1529500918294,0,0,0,0
1529500918395,0,0,0,0
1529500918495,0,0,0,0
1529500918595,0,0,0,0
1529500918695,0,0,0,0
1529500918795,0,0,0,0
1529500918896,0,0,0,0
1529500918996,0,0,0,0
1529500919096,0,0,0,0
1529500919196,0,0,0,0
1529500919296,0,0,0,0
1529500919396,0,0,0,0
1529500919497,0,0,0,0
1529500919597,0,0,0,0
1529500919697,0,0,0,0
1529500919797,0,0,0,0
1529500919897,0,0,0,0
1529500919998,0,0,0,0
1529500920098,0,0,0,0
1529500920198,0,0,0,0
1529500920298,0,0,0,0
1529500920398,0,0,0,0
1529500920498,0,0,0,0
1529500920599,0,0,0,0
1529500920699,0,0,0,0
1529500920799,0,0,0,0
1529500920899,0,0,0,0
1529500920999,0,0,0,0
1529500921100,0,0,0,0
1529500921200,0,0,0,0
1529500921300,0,0,0,0
1529500921400,0,0,0,0
1529500921500,0,0,0,0
1529500921601,0,0,0,0
1529500921701,0,0,0,0
1529500921801,0,0,0,0
1529500921901,0,0,0,0
1529500922001,0,0,0,0
1529500922102,0,0,0,0
1529500922202,0,0,0,0
1529500922302,0,0,0,0
1529500922402,0,0,0,0
1529500922502,0,0,0,0
1529500922603,0,0,0,0
1529500922703,0,0,0,0
1529500922803,0,0,0,0
1529500922903,0,0,0,0
1529500923003,0,0,0,0
1529500923103,0,0,0,0
1529500923204,0,0,0,0
1529500923304,0,0,0,0
1529500923404,0,0,0,0
1529500923504,0,0,0,0
1529500923604,0,0,0,0
1529500923705,0,0,0,0
1529500923805,0,0,0,0
1529500923905,0,0,0,0
1529500924005,0,0,0,0
1529500924105,0,0,0,0
1529500924206,0,0,0,0
1529500924306,0,0,0,0
1529500924406,0,0,0,0
1529500924506,0,0,0,0
1529500924606,0,0,0,0
1529500924706,0,0,0,0
1529500924807,0,0,0,0
1529500924907,0,0,0,0
1529500925007,0,0,0,0
1529500925107,0,0,0,0
1529500925207,0,0,0,0
1529500925308,0,0,0,0
1529500925408,0,0,0,0
1529500925508,0,0,0,0
1529500925608,0,0,0,0
1529500925708,0,0,0,0
1529500925808,0,0,0,0
1529500925909,0,0,0,0
1529500926009,0,0,0,0
1529500926109,0,0,0,0
1529500926209,0,0,0,0
1529500926309,0,0,0,0
1529500926410,0,0,0,0
1529500926510,0,0,0,0
